phase,lookback_n,max_width_pct,atr_mult,retest_max_bars,retest_band_pct,tp1_rr,require_strong_breakout,max_hold_1h,n,n_decided,wr_pct,e_r_before,e_r_after,h1_er,h2_er,h1_wr,h2_wr,q1_er,q2_er,q3_er,q4_er,q1_n,q2_n,q3_n,q4_n,concentration_pos_pct,concentration_abs_pct,top_quarter,cluster_n,cluster_trade_n,pass_er,pass_wr_better,pass_wf,pass_concentration,pass_dedup,pass_all,reject_reason
combo,30,5,1,5,0.005,1.5,false,80,21,21,52.3810,0.309524,0.211912,0.501236,-0.106344,63.6364,40.0000,0.420037,0.568902,0.554406,-0.389523,5,6,3,7,47.5617,34.4668,2,0,0,true,true,false,true,true,false,"walk_forward_fail"
combo,30,5,1,5,0.005,1.5,false,120,21,21,52.3810,0.309524,0.211912,0.501236,-0.106344,63.6364,40.0000,0.420037,0.568902,0.554406,-0.389523,5,6,3,7,47.5617,34.4668,2,0,0,true,true,false,true,true,false,"walk_forward_fail"
ofat,20,10,1,10,0.005,1.5,false,80,62,61,50.8197,0.270492,0.179322,0.058155,0.342432,45.7143,57.6923,0.026978,0.091166,0.777534,-0.030513,18,18,12,14,82.0916,79.1180,3,0,0,true,true,true,false,true,false,"concentration>50%_posQ"
ofat,20,5,1,10,0.003,1.5,false,80,36,36,50.0000,0.250000,0.143086,0.080895,0.212593,47.3684,52.9412,-0.172481,0.265168,0.456964,-0.004625,8,11,8,9,55.6208,45.7305,3,0,0,true,true,true,false,true,false,"concentration>50%_posQ"
combo,20,5,1,10,0.003,1.5,false,120,36,36,50.0000,0.250000,0.143086,0.080895,0.212593,47.3684,52.9412,-0.172481,0.265168,0.456964,-0.004625,8,11,8,9,55.6208,45.7305,3,0,0,true,true,true,false,true,false,"concentration>50%_posQ"
combo,20,5,1,5,0.003,1.5,false,80,36,36,50.0000,0.250000,0.143086,0.080895,0.212593,47.3684,52.9412,-0.172481,0.265168,0.456964,-0.004625,8,11,8,9,55.6208,45.7305,3,0,0,true,true,true,false,true,false,"concentration>50%_posQ"
combo,20,5,1,5,0.003,1.5,false,120,36,36,50.0000,0.250000,0.143086,0.080895,0.212593,47.3684,52.9412,-0.172481,0.265168,0.456964,-0.004625,8,11,8,9,55.6208,45.7305,3,0,0,true,true,true,false,true,false,"concentration>50%_posQ"
baseline,20,5,1,10,0.005,1.5,false,80,40,40,47.5000,0.187500,0.083646,0.092098,0.074305,47.6190,47.3684,-0.097589,0.264540,0.456964,-0.203992,10,11,8,11,55.6794,37.3587,3,0,0,true,false,true,false,true,false,"wr_not_above_baseline|concentration>50%_posQ"
ofat,20,5,1,5,0.005,1.5,false,80,40,40,47.5000,0.187500,0.083646,0.092098,0.074305,47.6190,47.3684,-0.097589,0.264540,0.456964,-0.203992,10,11,8,11,55.6794,37.3587,3,0,0,true,false,true,false,true,false,"wr_not_above_baseline|concentration>50%_posQ"
ofat,20,5,1,8,0.005,1.5,false,80,40,40,47.5000,0.187500,0.083646,0.092098,0.074305,47.6190,47.3684,-0.097589,0.264540,0.456964,-0.203992,10,11,8,11,55.6794,37.3587,3,0,0,true,false,true,false,true,false,"wr_not_above_baseline|concentration>50%_posQ"
